id,title,type,averageRating,numVotes,releaseYear,one_genre,year_genre_rank
tt28356500,Anger,movie,10.0,6,2024,Action,1
tt26637593,Devaki Nandana Vasudeva,movie,9.8,2172,2024,Action,2
tt33075815,Kaveri,movie,9.8,1250,2024,Action,3
tt33663099,Guxim,movie,9.8,5,2024,Action,4
tt10958258,Marine Drive,movie,9.7,46,2024,Action,5
tt32395168,The Visitor,movie,7.6,15,2024,Adult,1
tt30796547,D.O.L.L.S.,movie,6.3,7,2024,Adult,2
tt33083593,Vikaasaparva,movie,9.7,505,2024,Adventure,1
tt13028852,Satu - Year of the Rabbit,movie,9.5,27,2024,Adventure,2
tt32034149,Meie aasta Indoneesias,tvSeries,9.5,104,2024,Adventure,3
tt33042892,Suchana,movie,9.3,522,2024,Adventure,4
tt34376711,No More Trouble - Cosa rimane di una tempesta,movie,9.3,6,2024,Adventure,5
tt21361900,Eddie's Lil' Homies,tvSeries,9.3,22,2024,Animation,1
tt28093628,Common Side Effects,tvSeries,9.2,22,2024,Animation,2
tt32134369,Everything Expunged,tvSeries,9.2,9,2024,Animation,3
tt33319868,Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',movie,9.2,552,2024,Animation,4
tt9105364,John Vardar vs the Galaxy,movie,9.2,54,2024,Animation,5
tt34431038,87 Candles,movie,10.0,6,2024,Biography,1
tt32094085,Not Taken: Origins,movie,9.8,5,2024,Biography,2
tt27694684,Saint Nick of Bethlehem,movie,9.6,40,2024,Biography,3
tt32117939,Chhava,movie,9.6,928,2024,Biography,4
tt32880828,It'll Never Work,movie,9.6,29,2024,Biography,5
tt32245656,Story Time with Devon,movie,10.0,7,2024,Comedy,1
tt32422243,Insta Series,movie,10.0,6,2024,Comedy,2
tt33773085,Lattha Sadan,movie,10.0,8,2024,Comedy,3
tt34387755,Casebre,movie,10.0,11,2024,Comedy,4
tt34710163,Problem Toh Hai,movie,10.0,9,2024,Comedy,5
tt34203476,Happy Birthday Luci,movie,9.9,49,2024,Crime,1
tt21028588,Nico,movie,9.8,18,2024,Crime,2
tt30837754,A Valentine's Day,movie,9.7,7,2024,Crime,3
tt31251156,4N6,movie,9.7,59,2024,Crime,4
tt29865372,Cubic Zirconia,movie,9.6,26,2024,Crime,5
tt25377496,A.P. Giannini - Bank to the future,movie,10.0,7,2024,Documentary,1
tt27787044,Right Here Right Now,movie,10.0,11,2024,Documentary,2
tt31643812,Los sueños de Pepe - Movimiento 2052,movie,10.0,5,2024,Documentary,3
tt31720333,When Time Passes,movie,10.0,6,2024,Documentary,4
tt32367709,Standing our ground,movie,10.0,8,2024,Documentary,5
tt12622578,Urbex,movie,10.0,5,2024,Drama,1
tt27004903,Pride,movie,10.0,5,2024,Drama,2
tt28420272,Hora Uncle,movie,10.0,16,2024,Drama,3
tt32134708,HOPE Westside High,movie,10.0,8,2024,Drama,4
tt32198949,Noble Vision,movie,10.0,9,2024,Drama,5
tt16421000,Mastaani,movie,9.6,23,2024,Family,1
tt31564756,Cowboy Jim and Benny's Wild West Show,tvSeries,9.5,206,2024,Family,2
tt29420514,Fizzy and Suds,tvSeries,9.4,8,2024,Family,3
tt33046276,Atithi Satkaaram,tvSeries,9.2,43,2024,Family,4
tt15365722,Lucy and the Lake Monster,movie,9.1,17,2024,Family,5
tt32362728,Ella,movie,9.5,58,2024,Fantasy,1
tt27719925,Il ladro di stelle cadenti,movie,8.7,17,2024,Fantasy,2
tt31173479,Lucid Love,movie,8.6,29,2024,Fantasy,3
tt27843184,Vincent,movie,8.5,32,2024,Fantasy,4
tt29959797,Baghin,tvSeries,8.4,32,2024,Fantasy,5
tt33040785,Culinary Class Wars,tvSeries,8.5,2085,2024,Game-Show,1
tt29229419,Vyzhit v Samarkande,tvSeries,8.4,11,2024,Game-Show,2
tt32816352,Bestemming X Nederland,tvSeries,8.4,7,2024,Game-Show,3
tt32510002,Inside,tvSeries,8.3,62,2024,Game-Show,4
tt31124565,Les Traîtres,tvSeries,8.2,17,2024,Game-Show,5
tt32119211,Naka De Salon,tvSeries,9.2,5,2024,History,1
tt32277067,Something to Stand for with Mike Rowe,movie,9.2,202,2024,History,2
tt33334395,Ramsès le Grand,tvSeries,8.9,11,2024,History,3
tt30954103,Pracchand Ashok,tvSeries,8.5,71,2024,History,4
tt30322899,Kasoombo,movie,8.2,616,2024,History,5
tt34268857,Karuvanam,tvSeries,9.5,1009,2024,Horror,1
tt32421430,Flesh of the Unforgiven,movie,9.3,24,2024,Horror,2
tt29373684,Hunting Matthew Nichols,movie,9.2,34,2024,Horror,3
tt32045001,Kabandha,movie,9.2,26,2024,Horror,4
tt34608624,The Devil's Disciples,movie,9.2,14,2024,Horror,5
tt31779079,Electric Callboy: Tekkno - Live in Europe,movie,9.3,17,2024,Music,1
tt32947869,The Way of the Rain - Hope for Earth,movie,9.3,14,2024,Music,2
tt33400818,Whitney Houston - The Concert for a New South Africa (Durban),movie,9.1,129,2024,Music,3
tt33852325,"For Friends and Family Only, A Live Concert Film",movie,9.0,10,2024,Music,4
tt32655276,The Pop Out: Ken & Friends,movie,8.9,115,2024,Music,5
tt17423852,The Brink Of,movie,8.8,53,2024,Musical,1
tt32410136,Ishttaragam,movie,8.7,109,2024,Musical,2
tt33264824,Sight & Sound Presents: Daniel LIVE,movie,8.5,23,2024,Musical,3
tt31531606,My Favourite Things: The Rodgers & Hammerstein 80th Anniversary Concert,movie,7.8,45,2024,Musical,4
tt32563402,Bonnie and Clyde: The Musical,movie,7.7,59,2024,Musical,5
tt15654388,Tenant,movie,9.7,112,2024,Mystery,1
tt25049552,Sanak,movie,9.7,7,2024,Mystery,2
tt33078328,Who Killed Angel Adams?,movie,9.6,10,2024,Mystery,3
tt16986704,Ellige Payana Yavudo Daari,movie,9.2,249,2024,Mystery,4
tt33305909,Churul,movie,9.2,191,2024,Mystery,5
tt32204353,Every Christopher Nolan Movie Ranked,movie,8.5,16,2024,News,1
tt33096993,Have I Got News for You,tvSeries,7.4,255,2024,News,2
tt31975239,20/20: The Interrogation Tapes,tvSeries,7.3,33,2024,News,3
tt30972362,Fox News Saturday Night with Jimmy Failla,tvSeries,7.2,16,2024,News,4
